#h l2 max nstep runtime[ms]
4.0 0.0224250772078 0.435493467326 5 28.2894
2.0 0.0112737367325 0.180313239037 10 41.7921
1.0 0.00489671607868 0.0964320909069 20 67.4413
0.5 0.00181653887677 0.0343399203297 40 108.871
0.25 0.000632952652152 0.0117445172425 80 209.935
0.125 0.000200519638135 0.00364354140481 160 449.321
0.0625 5.81600196478e-05 0.0010422153821 320 886.514
0.03125 1.58464502363e-05 0.00028270102877 640 1708.67
0.015625 4.13168903653e-06 7.42068925609e-05 1280 3467.04
0.0078125 1.1038796171e-06 1.99984171466e-05 2560 6828.7
0.00390625 3.10477120742e-07 5.70167637796e-06 5120 13706.1
0.001953125 1.105252955e-07 2.8933880127e-06 10240 27186.8
0.0009765625 1.63747165728e-08 2.81892582119e-07 20480 54524
