#h l2 max nstep runtime[ms]
4.0 0.0179400855238 0.435501193115 5 27.0706
2.0 0.00901902233083 0.180325783184 10 50.5325
1.0 0.00391753700723 0.0964452512009 20 85.663
0.5 0.00145315492978 0.0343373534989 40 118.1
0.25 0.000506686705795 0.0117430702355 80 240.517
0.125 0.000160819994809 0.00364061558572 160 488.309
0.0625 4.67837362158e-05 0.00103525218794 320 887.131
0.03125 1.31464437925e-05 0.000285513447641 640 1711.33
0.015625 4.29977596888e-06 7.14847380085e-05 1280 3412.06
0.0078125 1.65540563661e-06 3.57423690043e-05 2560 6828.06
0.00390625 1.98269461594e-07 3.61678733972e-06 5120 13687.9
0.001953125 0 0.0 10240 30033.7
0.0009765625 0 0.0 20480 56344.4
