#h l2 max nstep runtime[ms]
4.0 0.00234765689305 0.0161412004381 5 24.4193
2.0 0.00118342483022 0.00650277966633 10 53.3825
1.0 0.000516178003566 0.00349999964237 20 92.8406
0.5 0.000192203067244 0.00123769976199 40 169.581
0.25 6.69565156345e-05 0.000424699857831 80 268.99
0.125 2.11910880895e-05 0.000132000073791 160 449.477
0.0625 6.14664979096e-06 3.78992408514e-05 320 881.933
0.03125 1.67326700857e-06 1.03004276752e-05 640 1703.67
0.015625 4.34826210915e-07 2.70083546638e-06 1280 3394.03
0.0078125 1.14725108287e-07 7.00354576111e-07 2560 6914.79
0.00390625 3.50855046451e-08 1.99303030968e-07 5120 14102.3
0.001953125 1.49794254443e-08 1.00582838058e-07 10240 27474.7
0.0009765625 7.30178726379e-09 1.00582838058e-07 20480 54280.7
