[0.002347656893049474, 0.016141200438141823] - -
[0.0011834248302183368, 0.006502779666334391] [0.98825350522547, 1.3116194304743578] -
[0.0005161780035655638, 0.0034999996423721313] [1.1970275018779784, 0.893701767130288] [1.1785221619745099, 1.5711334467712759]
[0.00019220306724399778, 0.0012376997619867325] [1.4252373043363329, 1.4996933828905985] [1.108833133759311, 0.9714492632726258]
[6.695651563445029e-05, 0.0004246998578310013] [1.5213350011145852, 1.5431458608998792] [1.3941868411528515, 1.4896264158315955]
[2.1191088089535304e-05, 0.00013200007379055023] [1.6597667860584306, 1.6859048896628768] [1.4621692046922719, 1.4870830171915566]
[6.146649790961384e-06, 3.789924085140228e-05] [1.785585472929547, 1.8002978804814629] [1.6080748425330014, 1.6371422830744513]
[1.6732670085700084e-06, 1.0300427675247192e-05] [1.8771326097915237, 1.8794647109249223] [1.7506157520655696, 1.7696012645753143]
[4.3482621091530417e-07, 2.7008354663848877e-06] [1.9441568668096474, 1.9312265802197726] [1.852569466919858, 1.8606123172407425]
[1.1472510828655928e-07, 7.003545761108398e-07] [1.9222577388078668, 1.9472483332246593] [1.9429607996047116, 1.9255751588734455]
[3.5085504645119226e-08, 1.993030309677124e-07] [1.709234150099697, 1.8131218652764907] [1.923816853780376, 1.9973159154287887]
[1.4979425444259723e-08, 1.0058283805847168e-07] [1.2278928248921046, 0.9865794842376783] [1.6004612357512995, 2.3165748603931555]
[7.301787263788442e-09, 1.0058283805847168e-07] [1.036660746528674, 0.0] [1.1351553980866873, 0.0]
