#h l2 max nstep runtime[ms]
4.0 4.49030578064 33.461769104 5 26.849
2.0 0.993567635196 5.02977991104 10 39.0582
1.0 0.147165220452 1.31575989723 20 64.7943
0.5 0.0395731140624 0.309679985046 40 107.55
0.25 0.0130043348029 0.126145005226 80 235.146
0.125 0.00439888799824 0.0436620116234 160 421.925
0.0625 0.00133994058624 0.0133119821548 320 853.222
0.03125 0.000375600237725 0.00372797250748 640 1722.73
0.015625 9.97325734336e-05 0.000990986824036 1280 3501.34
0.0078125 2.5553482722e-05 0.000254988670349 2560 6899.14
0.00390625 6.47593230229e-06 6.40153884888e-05 5120 14011.6
0.001953125 2.28245255253e-06 1.59740447998e-05 10240 27068.6
0.0009765625 1.0595523996e-06 1.00135803223e-05 20480 54332.4
