#h l2 max nstep runtime[ms]
4.0 469.533734461 3228.27001953 5 25.5563
2.0 236.685883824 1300.56005859 10 50.4535
1.0 103.235575418 700.0 20 95.0501
0.5 38.4405957504 247.530273438 40 165.099
0.25 13.3904512488 84.9301757812 80 220.604
0.125 4.23841393004 26.3901367188 160 422.261
0.0625 1.22868094602 7.56005859375 320 853.088
0.03125 0.334571843316 2.0400390625 640 1718.06
0.015625 0.0875394169662 0.5302734375 1280 3434.84
0.0078125 0.0226967867708 0.13037109375 2560 6808.85
0.00390625 0.00577109290986 0.0302734375 5120 13625.2
0.001953125 0.0026078774366 0.01025390625 10240 27142.9
0.0009765625 0.00102413249451 0.010009765625 20480 54041.9
